time,open,high,low,close,volume
2024-11-01 13:31:00,207.9034,207.9034,207.7447,207.7447,2771
2024-11-01 13:32:00,207.7397,207.7546,207.6157,207.6455,2832
2024-11-01 13:33:00,207.6058,207.6554,207.5413,207.5413,3303
2024-11-01 13:34:00,207.5512,207.5657,207.4981,207.4981,2407
2024-11-01 13:35:00,207.4966,207.4966,207.3578,207.3925,4106
2024-11-01 13:36:00,207.3577,207.3577,207.1246,207.1246,4668
2024-11-01 13:37:00,207.1692,207.2188,207.1196,207.1345,3385
2024-11-01 13:38:00,207.1295,207.2089,207.1159,207.1692,2217
2024-11-01 13:39:00,207.2288,207.2486,207.0899,207.1147,4318
2024-11-01 13:40:00,207.0204,207.0799,206.9113,206.9113,3525
2024-11-01 13:41:00,206.9065,206.9113,206.8269,206.8517,7172
2024-11-01 13:42:00,206.8472,206.8964,206.8418,206.8964,3139
2024-11-01 13:43:00,206.8815,206.8815,206.7625,206.7625,3863
2024-11-01 13:45:00,206.7426,206.7426,206.6632,206.6732,11683
2024-11-01 13:46:00,206.6930,206.8121,206.6434,206.7724,10527
2024-11-01 13:47:00,206.7823,206.8617,206.7724,206.8021,4364
2024-11-01 13:48:00,206.8021,206.8121,206.7426,206.7426,3030
2024-11-01 13:49:00,206.6930,206.7128,206.6037,206.6037,3374
2024-11-01 13:50:00,206.5444,206.6533,206.5442,206.6136,10917
2024-11-01 13:51:00,206.6335,206.6732,206.6335,206.6335,2406
2024-11-01 13:52:00,206.6583,206.7525,206.6236,206.7426,4546
